dept,date,interest,reviewText,helpcount,nothelpcount,label
Statistics,03/27/2009,Really into it,Dr Schaalje is super nice  He makes a miserable class tolerable  He cares so much and will spend any amount of time to help you understand  VERY kind and caring  The class is super tough by nature but he will really help you if you just ask  GREAT teacher,0,0,1
Political Science,11/18/2009,Really into it,Very entertaining teacher class not too difficult,0,0,1
African-American Studies,12/11/2008,Really into it,Excellent Arabic instructor  Willing to taylor the classes to the students needs  Frighteningly brilliant,0,0,1
Political Science,05/02/2006,Really into it,He is a very good teacher and gets the students interested His tests are a little tricky but you do not have to read if you go to class,0,0,1
Journalism,04/30/2005,It's my life,He definitely is one of the better teachers coming out of GC  Unlike most other classes his class can be quite intriguing and the style in which he teaches is certainly engaging  Hes a great prof,0,0,1
Spanish,12/05/2011,Low,I accidentally wrote SPAN 206 on my rating but I meant 106  Everything still stands thoughAshlee is super nice and an awesome teacher  She makes class time worth your while and tries to help out her students as much as she can,0,0,1
Student Services,11/21/2007,Low,He is an awesome person If you want an easy A take the class You dont really learn much about the actual subject but the class is fun,0,0,1
History,05/08/2006,Sorta interested,One of the best professors ive ever had  very knowledgable and interesting  hes pretty funny too  its a little hard but i would recommend this class to anyone who likes to study history or islam,0,0,1
Philosophy,04/29/2007,Really into it,Good class Writing assignments are practical Chance at revision for most assignments If you write well he will give you an A If you are lazy and dont follow directions he will not White is smart cool and conservative Each day of class begins with a lawyer joke,0,0,1
Geology,04/09/2007,Sorta interested,What a great guy  I didnt find him as hilarious as other reviews but the material was pretty interesting  With no textbook it makes the class a breeze  Attend lecture just because thats the only way youre even sure you have a class to go to  Lab is mandatory but lasts about 20 minutes  Gotta love it,0,0,1
Physics,04/07/2009,Really into it,Great teacher Not always completely clear but ALWAYS willing to clarify if you ask him Grades kindly Tests are difficult but hell help you out to get a good grade If you will do the homework and group work you will do fine Learned a lot,0,0,1
Social Science,04/11/2007,It's my life,It took me most of the semester to figure out how easy this class was  You dont have to read the book you dont even have to go to lecture  To do well on the tests all you have to do is look up his online slides and copy the information onto his test prep sheet Dont get me wrong I found the class enjoyable and worthwhile just really easy,0,0,1
Health Science,10/13/2011,It's my life,The class is in a big lecture hall but he speaks very clearly and doesnt talk soft so hes easily heard from the very back row He makes the class interesting and hes funny You do have to pay attention to notes and listen to what he says because not everything on the tests are in his notes The stuff is really interesting and I loved it,0,0,1
Business,12/10/2014,It's my life,He is amazing Super good spiritual messages ,0,0,1
Computer Science,06/06/2005,It's my life,Great professor  Really tries his best  Contrary to other CSE professors this guy actually gives a crap about you  560 is hard because its a hard class not cause of him their all the same  If your entering 560 get ready to lose any and all social life,0,0,1
Political Science,12/11/2004,It's my life,Professor Wiseman is a great teacher even though the material can be dry its 101 what do you expect63 Youll know a TON about the US government after Go to his office hours if you have any questions hes really helpful and fun to talk to about most anything Study and youll do great,0,0,1
Business,12/21/2007,It's my life,A very useful class for anyone to take  However there is SO much reading and memorization for the exams but there is a lot to know in real estate and the exams are very straightforward and easy for the most part  Sharon is so nice and I would definitely take if youre considering,0,0,1
Economics,07/12/2012,Really into it,Such a smart man and he really knows what he is talking about His lectures were interesting and he explained general concepts instead of teaching to the test But the tests were manageable and the curve ALWAYS helped a ton I liked him a lot easy to get a B in  TAs in the econ department are awesome,0,0,1
Linguistics,11/15/2007,Really into it,Melby is the man  Hes way scatterbrained but super nice  I just love the guy,0,0,1
English,09/25/2008,Really into it,Comment below says quottests were easyquot and quotspark notes are finequotWhat an idiot listen guys  Loewensteins classes are great if you like to learn and read  If not study business or something  Go home and wait tables,0,0,1
Mathematics,02/26/2009,Sorta interested,Prof Best seems a bit out there at times in lecture but she is one of the best no pun intended Math teachers I have ever had  She will help you out as much as possible with hwk quiz prep etc  I would recommend her Go to office hours Also her TA Dan Grollmus is awesome,0,0,1
Geography,11/10/2010,Sorta interested,Brother Madsen is THE BEST Everything is so clear in what he expects He is strict on his policies but as long as you attend all of his classes and take good notes you will do well on the tests,0,0,1
