dept,date,interest,reviewText,helpcount,nothelpcount
Nursing,04/11/2007,Really into it,If you attend his class study the power points and work hard you will do well in his class  He is always willing to listen and work with you if you put in effort  Way fun awesome teacher,0,0
Dance,12/09/2006,It's my life,I thought Milly was great,0,0
Music,07/13/2010,Really into it,I absolutely love Sister Bossard for group vocal Ive learned so much from her and she is such a talented nice person Definitely recommended ,0,0
English,12/16/2009,It's my life,He gets a little off topic sometimes in lecture but he is always entertaining  He always pulls everything together at the end  You can really tell how much he enjoys what he does,0,0
Religion,03/17/2009,Sorta interested,I really really liked Bro Castro  He was so nice it was a GOOD class he didnt make you do a bunch of stupid stuff to get an A  Its pretty easy but also not a waste of time to go to class,0,0
English,05/13/2008,It's my life,This is probably one of the easiest and most fun classes Ive ever taken Sometiems he can be a bit tedious as it seems to take him 100 years to get out a sentence but overall hes really nice and funny Hes incredibly eloquent so if you dont understand big words avoid  him ha Otherwise hes great Highly recommended,0,0
English,10/02/2014,Sorta interested,Professor Krug was my reason for staying at UMN She is passionate about what she does and it is infectious Even in a large lecture hall she makes an effort to learn names and engage with the class Almost everything on the exams come from class so dont skip The exams are super easy if you just show up Lots of extra credit is available too,0,0
Mathematics,12/18/2008,It's my life,Dr Doud is easily one of the best professors I have ever had He gives crystalclear explanations of even the most difficult topics He is genuinely interested in his students doing well and is always available to help He will always stop to answer questions before moving on and makes sure that everyone understands the topic Take his class,0,0
Political Science,09/05/2007,Sorta interested,Okay Well I would have to say he is a very great teacher and I learned a huge amount from him I still think about some of the things I learned in there often He can get abit weirdone time he told us we were sinners and such because there were apparently some cheaters in our class And at first I thought he was joking but he wasnt,0,0
Animal Science,11/12/2008,It's my life,I really liked this teacher  he really does care about the students  the stuff that he teaches is really interesting and helpful  He also has a great sense of humor  i would highly recomend him to anyone,0,0
Physics,07/21/2006,Meh,Hes a really good teacher a busy man so he doesnt have that much time for helping If you follow his instuctions and do the work he tells you to you can do alright I really struggled but he was helpful Definitly take from him hes harder but a great teacher,0,0
Mathematics,02/26/2008,It's my life,Adam is so funny and makes the class understand everything hes talking about because he uses good examples He is also good looking and if you hate math thats one up side to going to class,0,0
Health & Physical Education,11/03/2009,Really into it,Ive now taken all the undergrad classes that Dr Cole offers and he really is great Extremely knowledgeable he brings personal experiences and insights to the table He is really willing to work with his students and really wants you to succeed I would recommend any of his classes to anyone Hes wonderful,0,0
English,04/28/2010,It's my life,Claytons not rude Hes blunt at times and overly sensitive Nobodys perfect I thought I knew how to read well until I came up against his examsquizessays You need to focus and work unbelievably hard in his classand its worth it What you learn stays with you Hes simply the best teacher there is,3,0
Mechanical Engineering,03/02/2012,Really into it,one of the best lecturers Ive had so far Theres no reason for you not to score this course if you pay attention to what he teaches homework assigned quizzes and finals are all correlated he keeps the class entertained with sports eg vikings but still keeps the class silent in all aspects a professor that knows how to teach,0,0
Theology,11/11/2009,It's my life,I have take Brother Palmer for three classes because he is that good I love him He is the best role model I have had in my life I feel so blessed to have him as a teacher,0,0
Business,10/27/2006,Really into it,Prof Couch is extreemly intelegent  He teaches you everything you need to know to get a job in finance  After taking his class you will have learned advanced concepts that will set you apart from the average  If you want to be acceptional take this class if you want to just be like everyone else good luck getting a job when you graduate63,0,0
Religion,04/15/2012,It's my life,I can not even express to you how much I love this class and this teacher Sister Morgan is without doubt the most inspiring and devoted teacher Ive EVER had She teaches by the Spirit cares about each student individually and makes you want to be better Easy class do the work go to class and prepare to have your life changed forever,0,0
