dept,date,interest,reviewText,helpcount,nothelpcount,label
Chemistry,05/17/2014,Sorta interested,Linda is one of my favorite professors at UW Madison She provides countless opportunities to get help if you do not understand the material and she truly cares about the success of her students If you understand the exercises provided in discussion you will do fine on the exams Definitely recommend taking chem 104 with  Linda,0,0,1
Humanities,01/02/2008,Meh,I took this class just for generals but it was so good Sister Cales is a great teacher and very understanding The class is very easy you just need to study the review Quizes are easy you only have to read the chapter once right before to get 100 There are 3 tests but they came from the review and neither was comprehensive,0,0,1
Religion,08/26/2007,Sorta interested,I loved this class  It was one that I looked forward to going to He is extremely helpful and tries hard to help the students do their best  I highly recomentd his class,0,0,1
International Studies,01/28/2013,It's my life,Love love LOVE Stephen Young By far my favorite prof at the University Hes very engaging and incorporates various types of media and activities into lecture Hes incredibly approachable and always clarifies when ideas presented seem vague He also has a backpack of personal stories and experiences that validate the arguments he makes,0,1,1
History,04/02/2009,Sorta interested,Brother Pulsipher is a great guy I will really miss his class Participation is a must You have to make a certain amount of comments just try to do them all soon if you dont like to He is still trying to perfect the class but I think he is doing really great Very spiritual professor,0,0,1
Economics,02/23/2010,Really into it,Went to class twice all quarter and easily got an A She curves the class so the top 20 get As Therefore you cant argue that shes not fair  Go to recitation for the extra credit,0,0,1
Biology,12/15/2009,Really into it,Professor Johnson genuinely cares about his students and hes funny  tests are not too hard if you go over the review sheets he gives you  All the powerpoints are on blackboard and those are good review too,0,0,1
Geography,12/06/2006,Really into it,This class was very interesting but you will only benefit from it if you attend class and put forth your personal effort  He is very experienced in the field and has been everywhere so he has great pictures and short movies that are interesting  He is laid back and wants you to do well  If you do what he asks you will get an A,0,0,1
Accounting,04/12/2011,Low,awesome teacher very straightforward about what to expect DO THE HOMEWORK Pay attention in class and dont think that 5 hours of hard study will make up for the lack there of in past weeks in other words read the chapters prior to class Hes a great teacher Takes notes also he doesnt curve and doesnt give extra credit,0,0,1
Biology,07/20/2013,Really into it,I think many people focus so much on how to get an A but if you focus on understanding and enjoying the cell mechanisms you wont have to worry about the grade  Do the all the pre and post readings and review to study guide questions until you can explain them well enough to someone who isnt studying the cell Enjoy the adventure,0,0,1
Languages,06/05/2005,It's my life,This is one of the coolest teachers I have ever had He is very fair and makes class and learning fun Hes a great dresser but I think its unfair to say that he judges his students on thier appearances I highly recommend himI would take another class from him any day,0,0,1
Psychology,11/11/2009,It's my life,Great professor  His lectures are always interesting and funny and he makes things very clear  Its a difficult class but if you attend lecture youll be fine  I definitely recommend taking a class with him if youre interested in the topic,0,0,1
Mathematics,01/08/2014,Really into it,The class is hard but I am so grateful that John was my professor Great at explaining hard concepts simply Very Approachable It is rare to find a teacher who understands what its like to be a student like he does Hard work is necessary and the class is very rewarding,0,0,1
Physics,04/08/2009,Meh,By far the best professor Ive had She makes the material simple to understand and there are no surprises on her tests They are very straightforward and pertain to exactly what she went over in class HW is the hardest part but TAs are great helpShe was very interested in my success even though I never talked to her personally,0,0,1
Psychology,03/25/2006,Really into it,Tests are based from lectures not book I wouldnt buy the book if I could go back  Hes funny interesting and knowledgable Only one paper assigned and no cumunulative final Great class learned a lot from the lectures,0,0,1
Mathematics,11/26/2009,Sorta interested,hahahah clearly alotta girls are writing reviews herei took him my freshman year now a senior and i can look back and say i was fortunate to get him i knew some of the material already but his clarity and examples helped me pull an A in that class,0,0,1
